id,address,date,price,bedrooms,bathrooms,carparks
405171579,6 / 96 KURRABA ROAD NEUTRAL BAY NSW 2089,1991-12-13,475000,,,
405171552,7 AMHERST STREET CAMMERAY NSW 2062,1991-08-02,242000,,,
405164416,19 WILLUNGA ROAD BEROWRA NSW 2081,1991-10-09,118000,,,
405164550,3 YARABAH AVENUE GORDON NSW 2072,1991-06-15,372500,,,
405171524,69 / 48 ALFRED STREET MILSONS POINT NSW 2061,1991-11-18,231000,,,
405164343,24 DENISON STREET MANLY NSW 2095,1991-05-14,640000,,,
405171569,60 / 143 KURRABA ROAD NEUTRAL BAY NSW 2089,1991-04-12,133500,,,
405164479,41 HORACE STREET ST IVES NSW 2075,1991-02-14,350000,,,
405171799,28 / 504 CHURCH STREET NORTH PARRAMATTA NSW 2151,1991-03-28,133000,,,
405172237,30 / 37 BARRY STREET NEUTRAL BAY NSW 2089,1991-05-31,335000,,,
405172220,1 / 6 SILEX ROAD CLIFTON GARDENS NSW 2088,1991-06-22,360000,,,
405172214,8 / 80 SHADFORTH STREET MOSMAN NSW 2088,1991-03-19,158000,,,
405172238,37 BARRY STREET NEUTRAL BAY NSW 2089,1991-03-19,435000,,,
405171985,16 / 20 YEO STREET NEUTRAL BAY NSW 2089,1991-03-21,0,,,
405171926,19 / 3 BARISTON AVENUE CREMORNE NSW 2090,1991-06-05,225000,,,
405172585,22 / 164 SPIT ROAD MOSMAN NSW 2088,1991-09-16,204000,,,
405178844,16 BLACKBUTTS ROAD FRENCHS FOREST NSW 2086,1991-02-06,195000,,,
405178866,9 / 15 LISMORE AVENUE DEE WHY NSW 2099,1991-07-11,140000,,,
405179438,9 / 163 HERRING ROAD MACQUARIE PARK NSW 2113,1991-02-06,138000,,,
405179295,1 / 35 HAWKESBURY AVENUE DEE WHY NSW 2099,1991-11-29,132000,2,1,
405179249,31 TIARRI AVENUE TERREY HILLS NSW 2084,1991-07-24,315000,,,
405179341,14 / 21 STATION STREET DUNDAS NSW 2117,1991-11-29,107500,,,
405179483,2 / 168 WATERLOO ROAD EASTWOOD NSW 2122,1991-09-29,168000,,,
405179725,12 VALE AVENUE DEE WHY NSW 2099,1991-12-07,580000,,,
405173841,6 / 34 VIRGINIA STREET ROSEHILL NSW 2142,1991-05-08,107000,,,
405178921,6 / 34 VIRGINIA STREET HARRIS PARK NSW 2142,1991-06-06,107000,,,
405179831,6 / 22 FACTORY STREET NORTH PARRAMATTA NSW 2151,1991-11-08,118000,,,
405179796,400 PITTWATER ROAD NORTH MANLY NSW 2100,1991-02-01,292500,,,
405180172,210 WARRINGAH ROAD BEACON HILL NSW 2100,1991-03-15,192500,,,
405180213,15 / 27 PARKES STREET MANLY VALE NSW 2093,1991-02-25,153000,,,
405179992,4 / 10 CASSIA STREET DEE WHY NSW 2099,1991-09-30,130000,,,
405180231,20 BUCKLEYS ROAD WINSTON HILLS NSW 2153,1991-06-07,1250000,,,
405180235,39 EASTWOOD AVENUE EASTWOOD NSW 2122,1991-04-16,250000,,,
405180173,96 WARRINGAH ROAD NARRAWEENA NSW 2099,1991-04-12,192000,,,
405183533,94 BASSETT STREET MONA VALE NSW 2103,1991-04-15,230000,,,
405184098,11 / 28 HAMPDEN ROAD ARTARMON NSW 2064,1991-07-23,190000,,,
405184041,53 LAKESIDE DRIVE DURRAS SOUTH NSW 2536,1991-05-27,165000,,,
405181782,10 / 143 WILLOUGHBY ROAD NAREMBURN NSW 2065,1991-01-07,220000,,,
405184509,16 PRINCES HIGHWAY BATEMANS BAY NSW 2536,1991-10-02,105000,,,
405184104,2 / 85 HAMPDEN ROAD ARTARMON NSW 2064,1991-06-12,207000,,,
405184173,1 / 14 BISHOP STREET NEWPORT NSW 2106,1991-05-19,132000,,,
405184325,47 HERCULES STREET CHATSWOOD NSW 2067,1991-06-14,3960000,,,
405184724,20 JEANETTE AVENUE MONA VALE NSW 2103,1991-11-20,240000,,,
405184146,3 / 17 STATION STREET NAREMBURN NSW 2065,1991-08-16,243000,,,
405184423,29 MCCLELLAND STREET WILLOUGHBY NSW 2068,1991-04-26,290000,,,
405184763,115 WALLUMATTA ROAD NEWPORT NSW 2106,1991-05-21,530000,,,
405184249,11 ORIENT STREET BATEMANS BAY NSW 2536,1991-02-21,60000,,,
405184596,45 PACIFIC ROAD BATEMANS BAY NSW 2536,1991-07-17,95000,,,
405172989,134 BLUES POINT ROAD MCMAHONS POINT NSW 2060,1991-07-17,325000,,,
405184737,126 HUDSON PARADE CLAREVILLE NSW 2107,1991-08-14,655000,,,
405173026,71 NEUTRAL STREET NORTH SYDNEY NSW 2060,1991-06-04,350000,,,
405184741,301 HUDSON PARADE CLAREVILLE NSW 2107,1991-08-09,370000,,,
405173339,16 / 51 UPPER PITT STREET KIRRIBILLI NSW 2061,1991-08-01,812500,,,
405173121,11 / 15 HART DRIVE WENTWORTHVILLE NSW 2145,1991-04-30,145000,,,
405173532,17 DORAHY STREET DUNDAS NSW 2117,1991-01-18,155000,,,
405173215,2 / 39 BOWDEN STREET HARRIS PARK NSW 2150,1991-02-14,119000,,,
405173277,10 / 1 BRIDGE END WOLLSTONECRAFT NSW 2065,1991-06-28,650000,,,
405173283,40 / 1 BRIDGE END WOLLSTONECRAFT NSW 2065,1991-09-12,785000,,,
405173741,4 / 10 ALLEN STREET HARRIS PARK NSW 2150,1991-05-27,92300,,,
405173598,21 MYRTLE STREET RYDALMERE NSW 2116,1991-06-03,100000,,,
405173740,11 / 16 ALLEN STREET HARRIS PARK NSW 2150,1991-05-01,104000,,,
405173970,1 / 12 CRANBROOK AVENUE CREMORNE NSW 2090,1991-05-23,250000,,,
405173869,4 / 1 THE TRONGATE GRANVILLE NSW 2142,1991-03-22,135000,,,
405174051,232 BLAXLAND ROAD RYDE NSW 2112,1991-02-26,150500,,,
405181861,81 CABBAGE TREE ROAD BAYVIEW NSW 2104,1991-09-16,300000,,,
405181959,65 CAMPBELL STREET MORUYA NSW 2537,1991-01-11,90000,,,
405173906,13 / 5 HASSALL STREET HARRIS PARK NSW 2150,1991-08-21,103000,,,
405174199,22 CUMBERLAND AVENUE COLLAROY NSW 2097,1991-05-13,256000,,,
405181809,2 / 55 DARLEY STREET MONA VALE NSW 2103,1991-05-07,155000,,,
405174132,1 / 18 ALEXANDRIA AVENUE EASTWOOD NSW 2122,1991-07-18,0,,,
405181976,9 / 104 WYADRA AVENUE HARBORD NSW 2096,1991-06-11,1,,,
405174086,15 LANE COVE ROAD RYDE NSW 2112,1991-02-04,100000,,,
405181781,143 WILLOUGHBY ROAD NAREMBURN NSW 2065,1991-03-05,0,,,
405181785,2 WOOD STREET CHATSWOOD WEST NSW 2067,1991-10-04,310000,,,
405102619,8 KAROO CRESCENT MALUA BAY NSW 2536,1990-12-03,155000,,,
405182114,29 ROWAN STREET MONA VALE NSW 2103,1991-03-01,222000,,,
405182603,55 EMMA STREET MONA VALE NSW 2103,1991-09-11,310000,,,
405182597,1028 BARRENJOEY ROAD PALM BEACH NSW 2108,1991-03-20,220000,,,
405182521,37 ASHLEY STREET ROSEVILLE NSW 2069,1991-09-27,299000,,,
405182560,8 CAWARRAH ROAD MIDDLE COVE NSW 2068,1991-09-13,305000,,,
405182952,16 MONASH AVENUE GREAT MACKEREL BEACH NSW 2108,1991-02-19,143500,,,
405183106,8 TINGIRA PLACE FORESTVILLE NSW 2087,1991-02-20,233000,,,
405182800,8 BLIGH STREET NORTHBRIDGE NSW 2063,1991-04-22,345000,,,
405182891,3 / 60 BARRENJOEY ROAD MONA VALE NSW 2103,1991-06-05,120000,,,
405182907,208 BARRENJOEY ROAD NEWPORT NSW 2106,1991-02-18,225000,,,
405182810,2 BOWEN STREET CHATSWOOD NSW 2067,1991-10-03,192500,,,
405182906,286 BARRENJOEY ROAD NEWPORT NSW 2106,1991-03-15,165000,,,
405182869,12 SCOTT CRESCENT ROSEVILLE NSW 2069,1991-04-17,240000,,,
405182919,19 / 2 FOREST ROAD WARRIEWOOD NSW 2102,1991-03-01,180000,,,
405183254,5 / 7 GERTRUDE AVENUE NEWPORT NSW 2106,1991-09-27,185000,,,
405183237,1049 BARRENJOEY ROAD PALM BEACH NSW 2108,1991-07-17,320000,,,
405182916,11 / 2 FOREST ROAD WARRIEWOOD NSW 2102,1991-05-16,182000,,,
405183221,5 JERSEY ROAD ARTARMON NSW 2064,1991-12-24,0,,,
405175731,229 COXS ROAD NORTH RYDE NSW 2113,1991-03-28,0,,,
405175774,10 / 33 FOAM STREET HARBORD NSW 2096,1991-10-14,160000,,,
405182900,9A / 660 BARRENJOEY ROAD AVALON NSW 2107,1991-08-01,75000,,,
405175861,150 PARR PARADE BEACON HILL NSW 2099,1991-07-18,300000,,,
405175752,17 / 8 FIELDING STREET COLLAROY NSW 2097,1991-10-16,177000,,,
405175955,105 MODEL FARMS ROAD NORTHMEAD NSW 2153,1991-02-06,143000,,,
405183172,2F / 1 FRANCIS ROAD ARTARMON NSW 2064,1991-10-29,385000,,,
405176146,7 / 13 WHARF ROAD GLADESVILLE NSW 2111,1991-07-22,200000,,,
405175989,2 / 26 THOMAS STREET PARRAMATTA NSW 2150,1991-12-02,155545,,,
405176454,9 / 45 PELLISIER ROAD PUTNEY NSW 2112,1991-11-18,490000,,,
405176753,17 REMUS PLACE WINSTON HILLS NSW 2153,1991-04-10,220000,,,
402679383,CURRAWONG CRESCENT COLEAMBALLY NSW 2707,1976-11-01,4500,,,
402725191,349 KENTUCKY AVENUE LAVINGTON NSW 2641,1975-09-30,26420,,,
405189165,48 STANLEY AVENUE FARMBOROUGH HEIGHTS NSW 2526,1991-01-25,120000,,,
405188649,2 KIRTON ROAD AUSTINMER NSW 2515,1991-07-05,140000,,,
405189100,1 / 1 OLYMPIC BOULEVARD PORT KEMBLA NSW 2505,1991-11-19,96000,,,
405189819,78 ISLAND POINT ROAD ST GEORGES BASIN NSW 2540,1991-06-24,110000,,,
405189517,60 STOREY STREET FAIRY MEADOW NSW 2519,1991-08-21,66500,,,
405189792,12 RIVER ROAD LAKE TABOURIE NSW 2539,1991-03-20,85000,,,
405189805,21 BROWNS ROAD SOUTH NOWRA NSW 2541,1991-05-06,150000,,,
405190020,5 TONGARRA ROAD ALBION PARK RAIL NSW 2527,1991-05-20,108000,,,
405190024,199 TONGARRA ROAD ALBION PARK NSW 2527,1991-01-15,0,,,
405190189,22 BUCKLAND STREET MOLLYMOOK NSW 2539,1991-03-26,185000,,,
405190302,36 PHILIP DRIVE NORTH NOWRA NSW 2541,1991-09-25,0,,,
405190242,21 CAMBRIDGE ROAD DAPTO NSW 2530,1991-05-14,0,,,
405190601,153 RIVER ROAD SUSSEX INLET NSW 2540,1991-10-09,41000,,,
